Customer Kode, Ship From, Kode Ship From, Ship To, Kode Shipto, Harga Invoice
C-109,Pelabuhan Perak,SBY-20 ,Romokalisari,109RMK,27,00
C-109,Romokalisari,SBY-02 ,Pakindo Jaya,109PKJ,50,00
C-109,Jamrud,SBY-10 ,Gd Romokalisari,109RMK,27,00
C-110,Romokalisari,SBY-02 ,Cpi Krian,110CIK,58,00
C-012,Teluk Lamong,SBY-07 ,SPC-Trosobo,S012SPT,45,00
C-012,Teluk Lamong,SBY-07 ,Surya Grain-Trosobo,S012SGT,45,00
C-012,Teluk Lamong,SBY-07 ,MPJS Jombang,S012MPJ,69,00
C-012,Jamrud,SBY-10 ,FKS TANJUNG BATU,S012FTB,13,00
C-012,Jamrud,SBY-10 ,GCU Tanjung Batu,S012GTB,13,00
C-012,Teluk Lamong,SBY-07 ,PT.LDC TRADING-ROMOKALISARI,S012RMK,22,00
C-012,Teluk Lamong,SBY-07 ,PT. CENTRAL WINDU SEJATI-SEPANJANG,S012CWS,42,00
C-012,Teluk Lamong,SBY-07 ,NHI-ROMOKALISARI,S012NHR,22,00
C-012,Teluk Lamong,SBY-07 ,PT.HAVINDO-MUTIARA TB LANGON,S012HVD,25,00
C-012,Jamrud,SBY-10 ,PT.SUPERINDO-MARGOMULO INDAH,S012SMI,26,00
C-012,Teluk Lamong,SBY-07 ,Haida Kraton,S012HKR,58,50
C-012,Jamrud,SBY-10 ,TB. Langon 28,S012TB8,29,00
C-012,Jamrud,SBY-10 ,Margomulyo,S012MGM,29,00
C-012,Teluk Lamong,SBY-07 ,Widuri Blitar,S012WDR,110,00
C-012,Romokalisari,SBY-02 ,Malindo Margomulyo,S012MLM,26,00
C-012,Romokalisari,SBY-02 ,JCI-Margomulyo,S012JCM,27,00
C-012,Romokalisari,SBY-02 ,East Hope-Ngoro,S012EHN,50,00
C-012,BMS,SBY-24 ,Romokalisari,S012RMK,32,00
C-012,Jamrud,SBY-10 ,Haida Kraton,S012HKR,55,50
C-012,Jamrud,SBY-10 ,Romokalisari,S012RMK,27,00
C-012,Jamrud,SBY-10 ,MPJS Margomulyo 61,S012MPM,26,00
C-012,Jamrud,SBY-10 ,Margomulyo,S012MGM,26,00
C-012,Jamrud,SBY-10 ,DMC PUNGGING,S012DMP,54,00
C-012,Jamrud,SBY-10 ,Cpp Sepanjang,S012CPS,41,00
C-012,Teluk Lamong,SBY-07 ,Margomulyo,S012MGM,25,00
C-012,CJ Feed Jombang,,Abba-Sepanjang,S012ABS,21,00
C-012,Romokalisari,SBY-02 ,Cpi Krian,S012CIK,47,00
C-012,Tb.Langon 22,,Cpi Krian,S012CIK,47,00
C-012,Romokalisari,SBY-02 ,Cpi Sepanjang,S012CIS,44,00
C-012,Romokalisari,SBY-02 ,CJ Feed Jombang,S012CFJ,65,00
C-012,Romokalisari,SBY-02 ,Pakindo Jaya,S012PKJ,42,50
C-012,Teluk Lamong,SBY-07 ,East Hope-Ngoro,S012EHN,48,00
C-012,Teluk Lamong,SBY-07 ,New Hope-Mojosari,S012NHM,48,00
C-012,Teluk Lamong,SBY-07 ,Romokalisari (FKS),S012RFK,12,50
C-012,Teluk Lamong,SBY-07 ,New Hope-Jemundo,S012NHJ,42,50
C-012,Teluk Lamong,SBY-07 ,ROMOKALISARI (GL),S012RGL,24,00
C-012,Teluk Lamong,SBY-07 ,Sinar Indochem-Krian,S012SIK,45,00
C-012,Teluk Lamong,SBY-07 ,Sinar Unigrain-Krian,S012SUK,45,00
C-012,Teluk Lamong,SBY-07 ,Matahari Sakti-M.Mulyo,S012MSM,25,00
C-012,Teluk Lamong,SBY-07 ,MPJS Margomulyo,S012MPM,25,00
C-012,Teluk Lamong,SBY-07 ,Cpp Sepanjang,S012CPS,42,00
C-012,Teluk Lamong,SBY-07 ,WONOKOYO GEMPOL,S012WKG,48,00
C-012,Teluk Lamong,SBY-07 ,Matahari Sakti Gempol,S012MSG,48,00
C-012,Teluk Lamong,SBY-07 ,New Hope-Mojosari,S012NHM,48,00
C-012,Teluk Lamong,SBY-07 ,Sierad,S012SRD,46,00
C-012,Jamrud,SBY-10 ,MARGOMULYO PERMAI,S012MGP,26,00
C-012,Romokalisari,SBY-02 ,Cpi Sepanjang,S012CIS,44,00
C-012,Teluk Lamong,SBY-07 ,GCU Tanjung Batu,S012GTB,25,00
C-012,Teluk Lamong,SBY-07 ,FKS TANJUNG BATU,S012FTB,25,00
C-012,Romokalisari,SBY-02 ,Cpi Krian,S012CIK,47,00
C-012,Teluk Lamong,SBY-07 ,GD.TB LANGON 22,S012TB2,25,00
C-012,Teluk Lamong,SBY-07 ,Panca PP-Pandaan,S012PPD,49,00
C-012,Teluk Lamong,SBY-07 ,Margomulyo,S012MGM,25,00
C-012,Teluk Lamong,SBY-07 ,Panca PP-Gedangan,S012PPG,37,00
C-012,Teluk Lamong,SBY-07 ,Cpp Dupak,S012CPD,24,00
C-012,Teluk Lamong,SBY-07 ,Cpi Sepanjang,S012CIS,46,00
C-012,Teluk Lamong,SBY-07 ,Romokalisari (CPI),S012RCP,16,00
C-012,Teluk Lamong,SBY-07 ,Cpi Krian,S012CIK,49,00
C-012,Romokalisari,SBY-02 ,Sierad,S012SRD,41,50
C-012,Romokalisari,SBY-02 ,Malindo Tb. Langon,S012MTB,34,00
C-012,Romokalisari,SBY-02 ,Matahari Sakti-M.Mulyo,S012MSM,26,00
C-012,Romokalisari,SBY-02 ,MPJS Margomulyo 61,S012MPM,26,00
C-012,Romokalisari,SBY-02 ,New Hope-Jemundo,S012NHJ,37,00
C-012,Romokalisari,SBY-02 ,New Hope-Mojosari,S012NHM,49,00
C-012,Romokalisari,SBY-02 ,Malindo Tb. Langon,S012MTB,34,00
C-012,Teluk Lamong,SBY-07 ,ANTABOGA SDA,S012ABS,42,00
C-012,Teluk Lamong,SBY-07 ,Tb.Langon 16,S012TB6,25,00
C-012,Jamrud,SBY-10 ,Romokalisari,S012RMK,27,50
C-012,Romokalisari,SBY-02 ,CJ Feed Jombang,S012CFJ,65,00
C-012,Romokalisari,SBY-02 ,New Hope-Jemundo,S012NHJ,37,00
C-012,Romokalisari,SBY-02 ,East Hope-Ngoro,S012EHN,50,00
C-012,Romokalisari,SBY-02 ,Matahari Sakti Gempol,S012MSG,49,00
C-012,Romokalisari,SBY-02 ,Matahari Sakti-M.Mulyo,S012MSM,26,00
C-012,Romokalisari,SBY-02 ,MPJS Margomulyo 61,S012MPM,26,00
C-012,Romokalisari,SBY-02 ,Malindo Tb. Langon,S012MTL,34,00
C-012,Romokalisari,SBY-02 ,Siantar Top-Sda,S012STT,42,50
C-012,Romokalisari,SBY-02 ,SPC-Trosobo,S012SPT,38,50
C-012,Romokalisari,SBY-02 ,CJ Feed Jombang,S012CFJ,65,00
C-012,Teluk Lamong,SBY-07 ,CJ Feed Jombang,S012CFJ,68,00
C-012,Teluk Lamong,SBY-07 ,JCI-Sidoarjo,S012JCS,42,00
C-012,Romokalisari,SBY-02 ,Sierad,S012SRD,41,50
C-012,Romokalisari,SBY-02 ,New Hope-Mojosari,S012NHM,49,00
C-012,Romokalisari,SBY-02 ,New Hope-Jemundo,S012NHJ,37,00
C-012,Jamrud,SBY-10 ,Cpi Krian,S012CIK,46,50
C-012,Teluk Lamong,SBY-07 ,Suri Tani-Manyar,S012STM,39,00
C-012,Teluk Lamong,SBY-07 ,KEBOMAS GRESIK,S012KBG,22,00
C-012,Romokalisari,SBY-02 ,Gold Coin,S012GCN,26,00
C-012,Teluk Lamong,SBY-07 ,MS GEMPOL (GL),S012GGL,48,50
C-012,Romokalisari,SBY-02 ,New Hope Kletek,S012NHK,37,00
C-012,Teluk Lamong,SBY-07 ,PT.Seger,S012SGR,43,00
C-012,Teluk Lamong,SBY-07 ,Sama Berkat Ind,S012SBI,25,00
C-012,Teluk Lamong,SBY-07 ,PT.QL FEED IND-TB LANGON INDAH 1-3,S012QTL,25,00
C-012,Teluk Lamong,SBY-07 ,CV.SUPERINDO JAYA MAKMUR-MARGOMULYO INDAH,S012MMI,25,00
C-012,Teluk Lamong,SBY-07 ,SAMA BERKAT,S012SBK,20,00
C-012,Teluk Lamong,SBY-07 ,MPJS Margomulyo 61,S012MPM,23,00
C-012,Jamrud,SBY-10 ,Siantar Top-Sda,S012STT,41,00
C-012,Jamrud,SBY-10 ,PT.Murti-Gresik,S012MRT,29,00
C-012,Jamrud,SBY-10 ,GD.TB LANGON 22,S012TB2,26,00
C-012,Teluk Lamong,SBY-07 ,Gold Coin,S012GCN,25,00
C-012,Teluk Lamong,SBY-07 ,DMC PUNGGING,S012DMP,55,00
C-012,Romokalisari,SBY-02 ,Romokalisari,S012RMK,8,00
C-012,Tb.Langon,,Siantar Top-Sda,S012STT,41,00
C-012,Romokalisari,SBY-02 ,Sierad,S012SRD,41,50
C-012,Tb.Langon,,Sierad,S012SRD,41,50
C-012,Romokalisari,SBY-02 ,East Hope-Ngoro,S012EHN,50,00
C-012,Tb.Langon,,East Hope-Ngoro,S012EHN,50,00
C-012,Tb.Langon,,New Hope-Jemundo,S012NHJ,37,00
C-012,Tb.Langon,,New Hope-Mojosari,S012NHM,49,00
C-012,Romokalisari,SBY-02 ,New Hope-Jemundo,S012NHJ,37,00
C-012,Romokalisari,SBY-02 ,New Hope-Mojosari,S012NHM,49,00
C-012,Romokalisari,SBY-02 ,New Hope-Jemundo,S012NHJ,37,00
C-012,Romokalisari,SBY-02 ,Matahari Sakti-M.Mulyo,S012MSM,26,00
C-012,Romokalisari,SBY-02 ,Matahari Sakti Gempol,S012MSG,49,00
C-012,Romokalisari,SBY-02 ,East Hope-Ngoro,S012EHN,50,00
C-012,Teluk Lamong,SBY-07 ,MILL AGRO-ROMO,S012RML,24,00
C-012,Teluk Lamong,SBY-07 ,RATNO-GEDANGAN SDA,S012RGD,37,00
C-012,Teluk Lamong,SBY-07 ,PT.Seger,S012SGR,43,00
C-012,Romokalisari,SBY-02 ,East Hope-Ngoro,S012EHN,50,00
C-012,Romokalisari,SBY-02 ,Pakindo Jaya,S012PKJ,37,00
C-012,Teluk Lamong,SBY-07 ,Siantar Top-Sda,S012STT,46,00
C-012,Teluk Lamong,SBY-07 ,Murti Jaya Abadi,S012MJA,25,00
C-012,Romokalisari,SBY-02 ,Gold Coin,S012GCN,26,00
C-012,Jamrud,SBY-10 ,CJ Feed Jombang,S012CFJ,65,00
C-012,CJ Feed Jombang,,Matahari Sakti Gempol,S012MSG,49,00
C-012,Jamrud,SBY-10 ,KEBOMAS GRESIK,S012KBG,31,00
C-012,Jamrud,SBY-10 ,PT. Seger,S012SGR,42,00
C-012,Teluk Lamong,SBY-07 ,Abba-Sepanjang,S012ABS,42,00
C-012,Romokalisari,SBY-02 ,Siantar Top-Sda,S012STT,42,50
C-012,Teluk Lamong,SBY-07 ,Wirifa-Ngoro Mojokerto,S012WNM,48,00
C-012,Romokalisari,SBY-02 ,New Hope-Jemundo,S012NHJ,37,00
C-012,Romokalisari,SBY-02 ,Malindo Margomulyo,S012MLM,26,00
C-012,Romokalisari,SBY-02 ,New Hope-Mojosari,S012NHM,49,00
C-012,Teluk Lamong,SBY-07 ,MARGOMULYO PERMAI,S012MGP,25,00
C-012,Romokalisari,SBY-02 ,Pakindo Jaya,S012PKJ,37,00
C-012,Romokalisari,SBY-02 ,MPJS Margomulyo 61,S012MPM,26,00
C-012,Romokalisari,SBY-02 ,Siantar Top-Sda,S012STT,42,50
C-012,Romokalisari,SBY-02 ,Matahari Sakti Gempol,S012MSG,49,00
C-012,Romokalisari,SBY-02 ,Matahari Sakti-M.Mulyo,S012MSM,26,00
C-012,Romokalisari,SBY-02 ,Cpi Sepanjang,S012CIS,39,00
C-012,Romokalisari,SBY-02 ,East Hope-Ngoro,S01EHN,50,00
C-012,Romokalisari,SBY-02 ,Pakindo Jaya,S012PKJ,37,00
C-012,Romokalisari,SBY-02 ,CJ Feed Jombang,S012CFJ,65,00
C-012,Jamrud,SBY-10 ,Cpi Sepanjang,S012CIS,43,50
C-012,Jamrud,SBY-10 ,TB LANGON 28',S012TB8,26,00
C-012,Teluk Lamong,SBY-07 ,Cargill-Pasuruan,S012CGP,48,00
C-012,Teluk Lamong,SBY-07 ,GANTARI,JL.DARMO SUGONDO KEC.KEBOMAS GRESIK,S012SGD,21,00
C-012,Teluk Lamong,SBY-07 ,CV.PUTRA PRIMA MANDIRI, PARE-KEDIRI,S012PPM,78,00
C-012,Teluk Lamong,SBY-07 ,NHI-ROMOKALISARI,S012NHR,16,00
C-012,Teluk Lamong,SBY-07 ,MURTI JAYA,S012MRT,15,00
C-012,Jamrud,SBY-10 ,Panca PP-Gedangan,S012PPG,36,00
C-012,Jamrud,SBY-10 ,Sreeya Sewu,S012SYS,46,00
C-012,Cpi Krian,SBY-18 ,Jamrud,S012JMD,46,50
C-012,Cpi Sepanjang,SBY-19 ,Jamrud,S012JMD,43,50
C-012,Jamrud,SBY-10 ,Gold Coin,S012GCN,26,00
C-012,Teluk Lamong,SBY-07 ,Berkat Agri-Gedangan,S012BAG,37,00
C-012,Jamrud,SBY-10 ,JCI Sidoarjo,S012JCS,42,00
C-012,Jamrud,SBY-10 ,Romokalisari (CPI),S012RCP,31,00
C-012,Jamrud,SBY-10 ,AGRICO-ROMOKALISARI,S012AGR,31,00
C-012,Teluk Lamong,SBY-07 ,SCOULAR TRADING PERG.MASPION,S012STP,16,00
C-012,Jamrud,SBY-10 ,SUI,S012SUI,44,00
C-012,Pelabuhan Perak,SBY-20 ,Gd Kalimas,S012KLM,12,00
C-012,Teluk Lamong,SBY-07 ,Casaland,S012CSL,45,00
C-012,Teluk Lamong,SBY-07 ,Sorini-Pasuruan,S012SRP,60,00
C-012,Teluk Lamong,SBY-07 ,Malindo Gresik,S012MLG,43,00
C-012,Teluk Lamong,SBY-07 ,GANTARI (MBH.BELUK) SIDORUKUN-GRESIK,S012GTR,21,00
C-012,Teluk Lamong,SBY-07 ,QL Feed Romokalisari,S012QLR,16,00
C-012,Teluk Lamong,SBY-07 ,JCI Margomulyo,S012JCM,25,00
C-012,Teluk Lamong,SBY-07 ,CPP SEPANJANG (CPI),S012CPS,46,00
C-012,Teluk Lamong,SBY-07 ,MARGOMULYO (ADM),S012MAD,22,00
C-012,Teluk Lamong,SBY-07 ,Surya Grain-Trosobo,S012SGT,17,00
C-012,Jamrud,SBY-10 ,AGRICO ROMOKALISARI-ADM,S012AGR,28,00
C-012,Jamrud,SBY-10 ,GANTARI MBAH BELUK-ADM,S012ADM,31,00
C-012,Jamrud,SBY-10 ,SPC TROSOBO-ADM,S012SPA,43,00
C-012,Jamrud,SBY-10 ,SCOULAR ROMOKALISARI-ADM,S012RDM,27,00
C-012,Teluk Lamong,SBY-07 ,Panca PP-Gedangan,S012PPG,42,00
C-012,Jamrud,SBY-10 ,Seger Agro-Wringinanom,S012SGW,42,00
C-012,Jamrud,SBY-10 ,Sinar Indochem-Krian,S012SIK,45,00
C-012,Teluk Lamong,SBY-07 ,GD.TB LANGON 22,S012TB2,25,00
C-012,Teluk Lamong,SBY-07 ,T.LANGON-SORINI,S012TBS,16,00
C-012,Teluk Lamong,SBY-07 ,PT.TULUS DHARMOSUGONDO,S012TLS,16,00
C-012,Manyar,,New Hope-Jemundo,H012NHJ,44,00
C-012,Romokalisari,SBY-02 ,Romokalisari,H012RMK,10,00
C-012,Teluk Lamong,SBY-07 ,Romokalisari (Grainland),H012RGL,22,00
C-012,Romokalisari,SBY-02 ,Cpi Krian (Cpi),H012CIK,40,00
C-012,Romokalisari,SBY-02 ,Cpi Sepanjang (Cpi),H012CIS,37,00
C-012,Romokalisari,SBY-02 ,PT.MS-Gempol (Grainland),H012GGL,43,50
C-012,Jamrud,SBY-10 ,New Hope-Jemundo (FKS),H012NHF,34,00
C-012,Jamrud,SBY-10 ,Gold Coin-M.Mulyo (FKS),H012GCF,24,00
C-012,Teluk Lamong,SBY-07 ,Cargill-Pasuruan (FKS),H012CPF,45,50
C-012,Pelabuhan,SBY-11 ,Margomulyo (FKS),H012MGF,24,00
C-012,Pelabuhan,SBY-11 ,Tg.Batu (FKS),H012TBF,11,50
C-012,Romokalisari,SBY-02 ,Wirifa-Ngoro Mojokerto (FKS),H012WNF,43,50
C-012,Teluk Lamong,SBY-07 ,Tb.Langon (FKS),H012TBF,22,00
C-012,Pelabuhan,SBY-11 ,SUI-Krian (FKS),H012SUF,37,50
C-012,Pelabuhan,SBY-11 ,Tb.Langon (FKS),H012TBF,24,00
C-012,Pelabuhan,SBY-11 ,Romokalisari (FKS),H012RFK,26,00
C-012,Pelabuhan,SBY-11 ,MPJS-Jombang (FKS),H012MPF,57,50
C-012,Pelabuhan,SBY-11 ,Wonokoyo (FKS),H012WKF,42,50
C-012,Romokalisari,SBY-02 ,MPJS-Jombang (Grainland),H012MPG,69,00
C-012,Pelabuhan,SBY-11 ,SUI-By Pas Krian (Grainland),H012SUG,40,50
C-012,Pelabuhan,SBY-11 ,Wirifa-Ngoro Mojokerto (FKS),H012WNF,42,50
C-012,Pelabuhan,SBY-11 ,MPJS-Jombang (Grainland),H012MPG,68,00
C-012,Romokalisari,SBY-02 ,JCI-Margomulyo (Grainland),H012JMG,22,00
C-012,Romokalisari,SBY-02 ,Antaboga,H012ABG,37,00
C-012,Tb.Langon,,Jamrud,H012JMD,24,00
C-012,Margomulyo,SBY-03 ,Jamrud,H012JMD,24,00
C-012,Pelabuhan,SBY-11 ,Gd.Cassaland,H012CSL,40,50
C-012,IJS,,JCI-Gedangan,H012JCG,36,50
C-012,Pelabuhan,SBY-11 ,Abba(Trosobo),H012ABT,37,50
C-012,Pelabuhan,SBY-11 ,Cargil-Pier,H012CGP,53,50
C-012,Pelabuhan,SBY-11 ,Romo (Grainland),H012RGL,26,00
C-012,Teluk Lamong,SBY-07 ,MPJS-Jombang,H012MPJ,71,00
C-012,Teluk Lamong,SBY-07 ,Cargil-Pier,H012CGP,56,50
C-012,Teluk Lamong,SBY-07 ,Romokalisari (CPI),H012RCP,14,00
C-012,Teluk Lamong,SBY-07 ,SUI-By Pas Krian (FKS),H012SUF,43,50
C-012,Teluk Lamong,SBY-07 ,Gd.Cassaland (CPI),H012CSF,44,50
C-012,Jamrud,SBY-10 ,Gd.Cassaland (CPI),H012CSF,40,50
C-012,Jamrud,SBY-10 ,PT.DMC-Mojokerto,H012DMM,51,00
C-012,Jamrud,SBY-10 ,JCI-Gedangan,H012JCG,36,50
C-012,Jamrud,SBY-10 ,Margomulyo 20,H012MG2,24,00
C-012,Jamrud,SBY-10 ,Cheil Jeddang-Jombang,H012CJJ,57,50
C-012,Tb.Langon,,Siantar Top-Sda,H012STT,40,00
C-012,Romokalisari,SBY-02 ,Sierad,H012SRD,41,50
C-012,Margomulyo,SBY-03 ,Tg.Batu,H012TGB,11,50
C-012,Romokalisari,SBY-02 ,Margomulyo,H012MGM,22,00
C-012,Romokalisari,SBY-02 ,New Hope-Mojosari,H012NHM,43,50
C-012,Romokalisari,SBY-02 ,Cheil Jeddang-Jombang,H012CJJ,65,00
C-012,Romokalisari,SBY-02 ,Siantar Top-Sda,H012STT,40,00
C-012,Teluk Lamong,SBY-07 ,Cheil Jeddang-Jombang,H012CJJ,60,50
C-012,BMS,SBY-24 ,Romokalisari,H012RMK,32,00
C-012,Teluk Lamong,SBY-07 ,Haida-Pier Kraton,H012HKR,56,50
C-012,Romokalisari,SBY-02 ,Gold Coin (Grainland),H012GCG,25,00
C-012,Romokalisari,SBY-02 ,Siantar Top-Sda,H012STT,40,00
C-012,Romokalisari,SBY-02 ,Sierad,H012SRD,41,50
C-012,Jamrud,SBY-10 ,Haida-Pier Kraton (Order Haida),H012HKH,55,50
C-012,Jamrud,SBY-10 ,PT.Antaboga sidoarjo,H012ABS,44,00
C-012,Romokalisari,SBY-02 ,Malindo (Grainland),H012MGL,22,00
C-012,Romokalisari,SBY-02 ,Sierad (Grainland),H012SGL,41,50
C-012,Romokalisari,SBY-02 ,MPJS- Margomulyo (Grainland),H012MPG,25,00
C-012,Pelabuhan,SBY-11 ,Darmo Sugondo-Gresik,H012DSG,31,00
C-012,Pelabuhan,SBY-11 ,Wringin Anom,H012WNA,37,00
C-012,Teluk Lamong,SBY-07 ,Abba(Trosobo),H012ABT,38,00
C-012,Cheil Jeddang-Jombang,,Abba-Sepanjang,H012ABS,21,00
C-012,Teluk Lamong,SBY-07 ,Romokalisari ,H012RMK,16,00
C-012,Teluk Lamong,SBY-07 ,Abba-Sepanjang,H012ABS,52,00
C-012,Teluk Lamong,SBY-07 ,Sreeya-Wonoayu (FKS),H012SYF,43,50
C-012,Cpi Krian,SBY-18 ,JAMRUD SELATAN,H012JMS,39,00
C-012,Jamrud,SBY-10 ,Sreeya-Wonoayu (FKS),H012SYF,40,50
C-012,Pelabuhan,SBY-11 ,Cpi Krian (FKS),H012CKF,45,00
C-012,Pelabuhan,SBY-11 ,Cpi Sepanjang (FKS),H012CSF,35,00
C-012,Teluk Lamong,SBY-07 ,CARGILL SORINI,H012CSR,60,00
C-012,Teluk Lamong,SBY-07 ,Cpi Demak-Jateng,H012CDM,150,00
C-012,Teluk Lamong,SBY-07 ,CPI SEMARANG,H012CSM,150,00
C-012,Pelabuhan,SBY-11 ,PT.AGRICO - ROMO,H012RAG,25,00
C-012,Pelabuhan,SBY-11 ,PT.Seger,H012SGR,37,00
C-012,Pelabuhan,SBY-11 ,GD.GANTARI-GRESIK,H012GTG,31,00
C-012,Teluk Lamong,SBY-07 ,PT. TULUS-Gresik,H012TLS,16,00