AS,1821 AS,G 20 TR 01 Rangka,G 20 TR 01 Rangka,TR 01 A,TR 01 A
HSS,6421 HSSC,G 20 CD 74 RANGKA / AWS - 2 AXLE,G 20 CD 74 RANGKA ,H09 T [ CA-839 ],H 20 CD 003 ST - A / L 9830 UK
HSS,6422 HSSC,G 20 CD 75 RANGKA / AWS - 2 AXLE,G 20 CD 75 RANGKA ,H84 Tex H20 T,H 20 CD 004 ST - A / L 9625 UG (Mat Ropii)
HSS,6423 HSSC,G 20 CD 76 RANGKA / AWS - 2 AXLE ( SMG 08/10/18 ),G 20 CD 76 RANGKA ,H77 T ex H17 T ,H 20 CD 008 ST - A / L 9622 UG (Suli) [ CC-547 ]
HSS,6424 HSSC,G 20 CD 77 RANGKA / AWS,G 20 CD 77 RANGKA ,H102 ex H94 T,H 20 CD 052 ST - A / L 8275 UG (KHOLIK)
HSS,6426 HSSC,G 30 CD 79 RANGKA / AWS - 3 AXLE / gad X,G 30 CD 79 RANGKA ,H104 T ex H03 T,H 30 CD T 002 ST - A
HSS,6427 HSSC,G 30 CD 80 RANGKA / AWS - 3 AXLE / gad XI,G 30 CD 80 RANGKA ,H11 T,H 30 CD T 003 ST - A
HSS,6428 HSSC,G 20 CD 81 RANGKA / AWS / Gad XII - 2 AXLE,G 20 CD 81 RANGKA ,H02 ex H25 T,H 20 CD 026 ST - A
HSS,6429 HSSC,G 30 CD 82 RANGKA / AWS - 3 AXLE / gad XIV,G 30 CD 82 RANGKA ,H07 T,H 30 CD T 004 ST - A
HSS,6430 HSSC,G 30 CD 83 RANGKA / AWS - 3 AXLE / gand XV,G 30 CD 83 RANGKA ,H21 T,H 30 CD T 005 ST - A
HSS,6431 HSSC,G 20 CD 85 RANGKA / KS GAD XVII,G 20 CD 85 RANGKA ,H70 ,H 20 CD 037 ST - A
HSS,6601 HSSC,G 20 CD 01 RANGKA [AA] - 2 AXLE,G 20 CD 01 RANGKA ,H06 T ex H27 T,H 20 CD 009 ST
HSS,6602 HSSC,G 20 CD 02 RANGKA [AA] - 2 AXLE,G 20 CD 02 RANGKA ,H82 ex H15 T,H 20 CD 015 ST
HSS,6603 HSSC,G 20 CD 03 RANGKA [SN],G 20 CD 03 RANGKA ,H78 T ex H58 T??????,H 20 CD 017 ST
HSS,6604 HSSC,G 20 CD 04 RANGKA [SN],G 20 CD 04 RANGKA ,H91  H04T ex H90 T,H 20 CD 032 ST ( TD2-01 )
HSS,6606 HSSC,G 20 CD 06 RANGKA [SN],G 20 CD 06 RANGKA ,H97 T Ex H71 T,H 20 CD 018 ST ( TD2-20 )
HSS,6607 HSSC ,G 20 TR 07 RANGKA [SN]  - 2 AXLE ( SMG 08/10/18 ),G 20 TR 07 RANGKA ,H05 T ex H26,H 20 CD 022 ST-  A
HSS,6608 HSSC,G 20 TR 08 RANGKA [CBU],G 20 TR 08 RANGKA ,H08 T,H 20 CD 053 ST-S ( TD2-07 )
HSS,6609 HSSC,G 30 TD 43 DUMP / GEMALA HIJAU,G 30 TD 43 DUMP / ,H43 DT ex H09 T,
HSS,6610 HSSC,G 20 TR 10 LANTAI [AA],G 20 TR 10 LANTAI ,ex H10 T [ CB-267 ] ,H 20 CD 023 ST
HSS,6611 HSSC,G 20 TR 11 RANGKA [CBU],G 20 TR 11 RANGKA ,H99  [ CC-216 ],H 20 CD 013 ST ( TD2-08 )
HSS,6612 HSSC,G 30 TD 41 DUMP / GEMALA,G 30 TD 41 DUMP / ,H41 DT ,ex  H 12 ex L 9557 UG
HSS,6613 HSSC ,G 20 TR 16 RANGKA [AA] - 2 AXLE,G 20 TR 16 RANGKA ,H73 T ex H16 T ,H 20 CD 012 ST
HSS,6615 HSSC,G 30 TD 42 DUMP / GEMALA,G 30 TD 42 DUMP / ,H42 DT,ex L 9559 UG
HSS,6616 HSSC,G 30 TD 50 DUMP / GEMALA,G 30 TD 50 DUMP / ,H50 DT ,ex H18 T ex L 9621 UG
HSS,6617 HSSC,G 30 TD 39 DUMP / GEMALA,G 30 TD 39 DUMP / ,H39 DT,ex H17 T ex L 9622 UG
HSS,6618 HSSC,G 30 TD 45 DUMP / GEMALA,G 30 TD 45 DUMP / ,H45 DT,ex H26 T
HSS,6619 HSSC,G 30 TD 49 DUMP / GEMALA,G 30 TD 49 DUMP / ,H49 DT,ex H19 T ex L 9624 UG
HSS,6620 HSSC,G 30 TD 46 DUMP / GEMALA,G 30 TD 46 DUMP / ,H46 DT ,ex H16 DT ex L 9625 UG
HSS,6621 HSSC,G 30 TD 40 DUMP / GEMALA,G 30 TD 40 DUMP / ,H40 DT,ex H21 DT ex L 9629 UG
HSS,6622 HSSC,G 20 CD 22 RANGKA [AA] - 2 AXLE ( SMG 08/10/18 ),G 20 CD 22 RANGKA ,H76 T ex H22 T ,H 20 CD 007 ST
HSS,6623 HSSC,G 20 CD 23 RANGKA - 2 AXLE,G 20 CD 23 RANGKA ,H85 T ex H23 T,H 20 CD 011 ST
HSS,6624 HSSC,G 20 CD 24 RANGKA [AA] - 2 AXLE,G 20 CD 24 RANGKA ,H04 T ,H 20 CD 001 ST
HSS,6625 HSSC,G 20 CD 25 RANGKA ex TR,G 20 CD 25 RANGKA ,H88 ex H62 T ,H 20 CD 054 ST - A ( TD2-11 )
HSS,6626 HSSC,G 20 CD 26 RANGKA ex TR,G 20 CD 26 RANGKA ,H68 T ex H65 T ,H 20 CD 031 ST ( TD2-12 )
HSS,6627 HSSC,G 20 CD 27 RANGKA ex TR,G 20 CD 27 RANGKA ,H75 T ex H57 T,H 20 CD 024 ST ( TD2-18 )
HSS,6629 HSSC,G 20 CD 29 RANGKA,G 20 CD 29 RANGKA,H96 exH85 T,H 20 CD 056 ST
HSS,6630 HSSC,G 20 CD 30 RANGKA [AA],G 20 CD 30 RANGKA ,H79 T [ CC-253 ],H 20 CD 030 ST ( TD2-15 )
HSS,6631 HSSC,G 20 TR 31 RANGKA,G 20 TR 31 RANGKA,H19 T [ CC-252 ]?,
HSS,6632 HSSC,G 20 CD 32 RANGKA [AA],G 20 CD 32 RANGKA ,H32 T,
HSS,6633 HSSC,G 40 TR 33 LANTAI,G 40 TR 33 LANTAI,H33 T ex P03,H 40 TL 005 ST (T4-03)
HSS,6634 HSSC,G 40 TR 34 LANTAI,G 40 TR 34 LANTAI,H34 ex P09,H 40 TL 006 ST ( T4-01)
HSS,6635 HSSC,G 30 TD 51 DUMP / GEMALA,G 30 TD 51 DUMP / ,H51 T,ex H19 DT
HSS,6636 HSSC,G 30 CD 201 RANGKA,G 30 CD 201 RANGKA,EX H201 T,
HSS,6637 HSSC,G 30 CD 202 RANGKA,G 30 CD 202 RANGKA,EX H202 T,
HSS,6638 HSSC,G 30 CD 203 RANGKA - 3 AXLE,G 30 CD 203 RANGKA,H03 T,H 30 CD 002 ST [10M]
HSS,6639 HSSC,G 30 CD 204 RANGKA  - 3 AXLE,G 30 CD 204 RANGKA,H103 T ex H05 T,H 30 CD 003 ST [10M]
HSS,6640 HSSC,G 30 CD 205 RANGKA,G 30 CD 205 RANGKA,H72 T [TG-260],H 30 CD 020 ST - A
HSS,6641 HSSC,G 30 CD RANGKA 3 AXLE,G 30 CD RANGKA 3 A,,
HSS,6651 HSSC,G 20 CD 61 RANGKA 775,G 20 CD 61 RANGKA ,H74 ex H94 ex H102,H 20 CD 019 ST ( TD2-26 )
HSS,6652 HSSC,G 20 CD 62 RANGKA 775,G 20 CD 62 RANGKA ,H101 ex H52 T ,H 20 CD 027 ST
HSS,6653 HSSC,G 20 CD 63 RANGKA 775,G 20 CD 63 RANGKA ,H94 exH74 T(ex 9731),H 20 CD 055 ST ( TD2-09 )
HSS,6654 HSSC,G 20 CD 64 RANGKA,G 20 CD 64 RANGKA,H69 T,H 20 CD 029 ST ( TD2-02 )
HSS,6655 HSSC,G 20 CD 65 RANGKA,G 20 CD 65 RANGKA,H95 T,H 20 CD 028 ST ( TD2-17 )
HSS,6656 HSSC,G 20 CD 66 RANGKA,G 20 CD 66 RANGKA,H89 T ex H65 T,H 20 CD 021 ST / L 9334 UP
HSS,6657 HSSC,G 20 CD 67 RANGKA,G 20 CD 67 RANGKA,H71 Ex H60,H 20 CD 033 ST
HSS,6658 HSSC,G 20 CD 68 RANGKA,G 20 CD 68 RANGKA,H87 T,H 20 CD 035 ST ( TD2-14 )
HSS,6659 HSSC,G 20 CD 69 RANGKA,G 20 CD 69 RANGKA,H52T ex H70 T,H 20 CD 034 ST ( TD2-10 )
HSS,6660 HSSC,G 20 CD 89 RANGKA / KS GAD XXI,G 20 CD 89 RANGKA ,H100 HSSC,H 20 CD 042 ST - A
HSS,6661 HSSC,G 20 CD 90 RANGKA / KS GAD XXII,G 20 CD 90 RANGKA ,H78,H 20 CD 043 ST - A ( TD2-21 )
HSS,6664 HSSC,G 20 CD 93 RANGKA / KS GAD XXV,G 20 CD 93 RANGKA ,H98,H 20 CD 046 ST - A ( TD2-13 )
HSS,6665 HSSC,G 20 CD 94 RANGKA / AA,G 20 CD 94 RANGKA ,H126,H 20 CD 057 ST
HSS,6666 HSSC,G 20 CD 95 RANGKA / AA,G 20 CD 95 RANGKA ,H127,H 20 CD 058 ST
HSS,6667 HSSC,G 20 CD 96 RANGKA / AA,G 20 CD 96 RANGKA ,H128,H 20 CD 059 ST
HSS,6668 HSSC,G 20 CD 97 RANGKA / AA,G 20 CD 97 RANGKA ,H129,H 20 CD 060 ST
HSS,6669 HSSC,G 20 CD 98 RANGKA / AA,G 20 CD 98 RANGKA ,H130,H 20 CD 061 ST
HSS,6671 HSSC,G 20 CD 99 RANGKA / AA,G 20 CD 99 RANGKA ,H131,H20 CD 062 ST ( TD2-32 )
HSS,6672 HSSC,G 20 CD 100 RANGKA / AA,G 20 CD 100 RANGKA,H132,H 20 CD 063 ST ( TD2-33 )
HSS,6673 HSSC,G 20 CD 101 RANGKA / AA,G 20 CD 101 RANGKA,H133,H 20 CD 064 ST ( TD2-34 )
HSS,6674 HSSC,G 20 CD 102 RANGKA / AA,G 20 CD 102 RANGKA,H134,H 20 CD 065 ST ( TD2-35 )
HSS,6675 HSSC,G 20 CD 103 RANGKA / AA,G 20 CD 103 RANGKA,H135,H 20 CD 066 ST ( TD2-36)
HSS,6921 HSSC,BAK 775 cm 01,BAK 775 cm 01,H 01 B,H 20 B 004 ST
HSS,6922 HSSC,BAK 775 cm 02,BAK 775 cm 02,SMRG H 02 B,H 20 B 005 ST - A
HSS,6923 HSSC,BAK 775 cm 03,BAK 775 cm 03,H 03 B,
HSS,6924 HSSC,BAK 775 cm 04,BAK 775 cm 04,H 04 B,
HSS,6925 HSSC,BAK 775 cm 05,BAK 775 cm 05,H 05 B,
HSS,6926 HSSC,BAK 900 cm 06 [H-01],BAK 900 cm 06 [H-0,H 06 B / A,H 30 B 001 ST - A
HSS,6927 HSSC,BAK 800 cm 07 [H-09],BAK 800 cm 07 [H-0,H 07 B / B,H 30 B 006 ST - A / Karoseri AWS 1
HSS,6928 HSSC,BAK 800 cm 08 [H-27],BAK 800 cm 08 [H-2,H 08 B / C,H 30 B 007 ST - A / Karoseri AWS 2
HSS,6929 HSSC,BAK 1000 cm 09 (H-05),BAK 1000 cm 09 (H-,H 09 B / D (BAK 10M),H 30 B 002 ST - A  / BAK 10-3 Karoseri AWS
HSS,6930 HSSC,BAK 1000 cm 10 (H-02),BAK 1000 cm 10 (H-,H 10 B / E (BAK 10M),H 30 B 003 ST - A / BAK 10-4 Karoseri AWS
HSS,6931 HSSC,BAK 900 cm 12,BAK 900 cm 12,H 12 B / G,H 30 B 008 ST - A / Karoseri AWS 3
HSS,6932 HSSC,BAK 900 cm 13,BAK 900 cm 13,H 13 B / H,H 30 B 009 ST - A / Karoseri AWS 4
HSS,6933 HSSC,BAK 800 cm 14,BAK 800 cm 14,H 14 B / I,H 30 B 010 ST - A / Karoseri AWS 5
HSS,6934 HSSC,BAK 900 cm 15,BAK 900 cm 15,H 15 B / J,H 30 B 011 ST - A / Karoseri AWS 6
HSS,6935 HSSC,BAK H 40 OT 01,BAK H 40 OT 01,,H 40 OT 001
HSS,6936 HSSC,BAK H 40 OT 02,BAK H 40 OT 02,,H 40 OT 002
HSS,6937 HSSC,BAK H 40 OT 03,BAK H 40 OT 03,,H 40 OT 003
HSS,6938 HSSC,BAK H 40 OT 04,BAK H 40 OT 04,,H 40 OT 004
HSS,6939 HSSC,BAK H 40 OT 05,BAK H 40 OT 05,,H 40 OT 005
HSS,6940 HSSC,BAK H 40 OT 06,BAK H 40 OT 06,,H 40 OT 006
HSS,6941 HSSC,BAK H 40 OT 07,BAK H 40 OT 07,,H 40 OT 007
HSS,6942 HSSC,BAK H 40 OT 08,BAK H 40 OT 08,,H 40 OT 008
HSS,6943 HSSC,BAK H 40 OT 09,BAK H 40 OT 09,,H 40 OT 009
HSS,6944 HSSC,BAK H 40 OT 10,BAK H 40 OT 10,,H 40 OT 010
HSS,6945 HSSC,BAK H 40 OT 11,BAK H 40 OT 11,,H 40 OT 011
HSS,6946 HSSC,BAK H 40 OT 12,BAK H 40 OT 12,,H 40 OT 012
HSS,6947 HSSC,BAK H 40 OT 13,BAK H 40 OT 13,,H 40 OT 013
HSS,6948 HSSC,BAK H 40 OT 14,BAK H 40 OT 14,,H 40 OT 014
HSS,6949 HSSC,BAK H 40 OT 15,BAK H 40 OT 15,,H 40 OT 015
HSS,6950 HSSC,BAK H 40 OT 16,BAK H 40 OT 16,,H 40 OT 016
HSS,6951 HSSC,BAK H 40 OT 17,BAK H 40 OT 17,,H 40 OT 017
HSS,6952 HSSC,BAK H 40 OT 18,BAK H 40 OT 18,,H 40 OT 018
HSS,6953 HSSC,BAK H 40 OT 19,BAK H 40 OT 19,,H 40 OT 019
HSS,6954 HSSC,BAK H 40 OT 20,BAK H 40 OT 20,,H 40 OT 020
HSS,6955 HSSC,BAK H 40 OT 21,BAK H 40 OT 21,,H 40 OT 021
HSS,6956 HSSC,BAK H 40 OT 22,BAK H 40 OT 22,,H 40 OT 022
HSS,6957 HSSC,BAK H 40 OT 23,BAK H 40 OT 23,,BAK H 40 OT 023
HSS,6958 HSSC,BAK H 40 OT 24,BAK H 40 OT 24,,BAK H 40 OT 024
HSS,6959 HSSC,BAK H 40 OT 25,BAK H 40 OT 25,,BAK H 40 OT 025
HSS,6960 HSSC,BAK H 40 OT 26,BAK H 40 OT 26,,BAK H 40 OT 26
HSS,6961 HSSC,BAK H 40 OT 27,BAK H 40 OT 27,,BAK H 40 OT 27
HSS,6962 HSSC,BAK H 40 OT 28,BAK H 40 OT 28,,BAK H 40 OT 28
HSS,6963 HSSC,BAK H 40 OT 29,BAK H 40 OT 29,,BAK H 40 OT 29
HSS,6964 HSSC,BAK H 40 OT 30,BAK H 40 OT 30,,BAK H 40 OT 30
HSS,6965 HSSC,BAK H 40 OT 31,BAK H 40 OT 31,,BAK H 40 OT 31
HSS,6966 HSSC,BAK H 40 OT 32,BAK H 40 OT 32,,BAK H 40 OT 32
HSS,6967 HSSC,BAK H 40 OT 33,BAK H 40 OT 33,,BAK H 40 OT 33
HSS,6968 HSSC,BAK H 40 OT 34,BAK H 40 OT 34,,BAK H 40 OT 34
HSS,6969 HSSC,BAK H 40 OT 35,BAK H 40 OT 35,,BAK H 40 OT 35
HSS,6970 HSSC,BAK H 40 OT 36,BAK H 40 OT 36,,BAK H 40 OT 36
HSS,6971 HSSC,BAK H 40 OT 37,BAK H 40 OT 37,,BAK H 40 OT 37
HSS,6972 HSSC,BAK H 40 OT 38,BAK H 40 OT 38,,BAK H 40 OT 38
